engine_id,owner,inputs,outputs,dependencies,evidence,consumers,producers,failure_modes,recovery,success_criteria
execution-planner,execution-planner,"business_objective;goal_spec;architecture_bundle;constraints;run_seed;config_version","execution_manifest","engine_registry;capability_registry;dependency_registry","execution_manifest","dependency-resolution;engine-scheduler","execution_manifest","missing capabilities;invalid mapping;unsatisfiable constraints","human clarification;refine objective;update capability mapping","validated execution_graph produced"
dependency-resolution,dependency-resolution,"execution_manifest;engine_registry;capability_registry","resolved_graph;missing_prereqs;cycles","execution-planner","dependency_resolution_report","engine-scheduler;policy-enforcement","resolved_graph","dependency cycles;missing prereqs","human remediation;update capability registry","acyclic resolved_graph"
engine-scheduler,engine-scheduler,"resolved_graph;resource_snapshot;policy_constraints","schedule;allocation_plan","dependency-resolution","schedule_manifest","state-management;runtime-optimization","schedule","resource shortfall;unschedulable graph","escalation;resource adjustment;schedule refinement","deterministic schedule produced"
context-management,context-management,"execution_manifest;recon_report;runtime_context","context_snapshot","evidence-aggregation","context_snapshot","all runtime engines","context_snapshot","conflicting overlays;invalid inputs","human clarification;context correction","immutable context_snapshot produced"
state-management,state-management,"schedule;context_snapshot","node_state_records;checkpoints","engine-scheduler;context-management","state_change_log","decision-engine;audit-engine","node_state_records","checkpoint failure;state corruption","restart from last checkpoint;human escalation","atomic transitions recorded"
decision-engine,decision-engine,"node_state_stream;policy_registry;validation_reports","decision_records","state-management;policy-enforcement","decision_records","failure-recovery;human-interaction","decision_records","indecision;score ties","tie-breaker lexicographic selection;human escalation","deterministic decision record produced"
failure-recovery,failure-recovery,"failure_event;recovery_catalog;rollback_templates;policy_registry","recovery_plan","decision-engine","recovery_plan","state-management;human-interaction","recovery_plan","recovery attempt failure;human escalation","retry policy;fallback;human approval","recovery executed or escalated"
evidence-aggregation,evidence-aggregation,"evidence_streams;schema_registry","evidence_graph","schema_registry","evidence_graph","audit-engine;global-validation","evidence_graph","missing evidence;mismatched provenance","identify missing evidence;human reconciliation","complete evidence graph"
global-validation,global-validation,"execution_manifest;evidence_graph;runtime_contracts","global_validation_report","evidence-aggregation;policy-enforcement","validation_report","scheduler;decision-engine","validation_report","critical violations;compliance failures","block promotion;human remediation","no CRITICAL violations"
runtime-optimization,runtime-optimization,"schedule;cache_catalog;historical_metrics","optimized_schedule;cache_plan","engine-scheduler;runtime-metrics","optimization_manifest","state-management;scheduler","optimized_schedule","false reuse candidate;misallocation","re-run with adjusted cache plan","optimized schedule applied"
human-interaction,human-interaction,"decision_records;required_approvals;approver_list;governance_profile","human_actions;signed_approvals","policy-enforcement;evidence-aggregation","signed_approvals","decision-engine;audit-engine","signed_approvals","no response;missing signature","escalation;deadline enforcement","signed approvals recorded"
audit-engine,audit-engine,"state_store;evidence_graph;decision_registry","audit_bundle","evidence-aggregation;decision-engine","audit_bundle","compliance;governance","audit_bundle","archive corruption;missing evidence","re-collect evidence;rebuild bundle","audit bundle produced"
policy-enforcement,policy-enforcement,"policy_registry;node_action_proposal;evidence_graph","enforcement_decisions","schema_registry;evidence-aggregation","enforcement_decision","decision-engine;scheduler","enforcement_decisions","conflicting policies;action denial","human clarification;policy resolution","deterministic enforcement decisions"
multi-agent-coordination,multi-agent-coordination,"agent_pool;execution_manifest;capability_registry","coordination_plan","capability_registry;engine-scheduler","coordination_manifest","agents","coordination_plan","agent deadlock;resource contention","tie-breaker resolution;human escalation","deterministic agent assignments"
runtime-contracts,runtime-contracts,"runtime_contracts_list;schema_registry","contract_validation_results","schema_registry","contract_validation_report","all engines","contract_validation_results","incompatible contract versions;missing schema refs","contract remediation;schema update","contracts validated"
runtime-metrics,runtime-metrics,"execution_events;resource_ledger","runtime_metrics","state-management","metrics_snapshots","runtime-optimization;governance","runtime_metrics","missing instrumentation;metric drift","instrumentation repair","metrics collected"
global-determinism,global-determinism,"run_seed;config_version;execution_manifest","determinism_proof;replay_check_results","evidence-aggregation;state-management","determinism_proof","governance;audit","determinism_proof","non-deterministic deviation","flag non-determinism;archive run","replay identical"
runtime-apis,runtime-apis,"external_requests","api_responses;execution_actions","policy-enforcement;authentication","api_access_logs","external systems;agents","api_responses","unauthenticated access;contract violation","reject request;audit log","API contract conformance"
eos-lifecycle,eos-lifecycle,"business_objective;governance_policies","lifecycle_manifest","all_registries","lifecycle_manifest","governance;release","lifecycle_manifest","missing artifacts;transition gap","freeze transition;human remediation","lifecycle manifest produced"
master-control-plane,master-control-plane,"engines;capabilities;policies;schemas","control_plane_state","engine_registry;capability_registry;schema_registry;version_registry;artifact_registry;evidence_registry;decision_registry","control_plane_state_snapshot","entire EOS runtime","control_plane_state","registry inconsistency;state drift","state reconciliation;registry refresh","control plane consistent"
